id,day,words,links
220,220,"[""COCOA"",""COFFEE"",""CARROT"",""BEET"",""CARDINAL"",""SWIFT"",""MARS"",""CRUNCH""]","[""DRINKS WITH CAFFEINE"",""___ CAKE"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS"",""POP MEGASTARS"",""CHOCOLATE BARS""]"
221,221,"[""MINUTE"",""WEE"",""WHY"",""SEA"",""WONDER"",""FRY"",""WING"",""BRANCH""]","[""TINY"",""W + VOWEL SOUND"",""LETTER HOMOPHONES"",""MEMBERS OF A SEPTET"",""SMALL ___"",""APPETIZER UNIT"",""DIVISION""]"
222,222,"[""BELT"",""TIE"",""SCARF"",""WOLF"",""PRINCESS"",""MUSHROOM"",""STAR"",""SILVER""]","[""ACCESSORIES"",""NECKWEAR"",""SYNONYMS FOR EAT"",""FAIRY TALE FIGURES"",""SUPER MARIO-RELATED"",""POWER-UPS IN SUPER MARIO WORLD"",""___ FISH THAT AREN’T FISH""]"
223,223,"[""BUCKET"",""WISH"",""SOUP"",""GREEN"",""SCARLET"",""LOVE"",""RIGHT"",""YES""]","[""___ LIST"",""WORDS THAT GO WITH “BONE”"",""PEA ___"",""CLUE CHARACTERS"",""___ LETTER"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER""]"
224,224,"[""HEAR"",""KNOCK"",""TRASH"",""CRUSH"",""MUG"",""TEE"",""TANK"",""MASK""]","[""REPEATED WORDS IN EXPRESSIONS"",""CRITICIZE"",""DEFEAT BADLY"",""SODA BRANDS"",""COMMON SWAG ITEMS"",""TOPS"",""SCUBA GEAR""]"
225,225,"[""FRAMED"",""RABBIT"",""KNIFE"",""WRENCH"",""JERK"",""DOG"",""ARROW"",""BOW""]","[""WHO FRAMED ROGER RABBIT"",""JACK ___"",""WEAPONS IN THE GAME CLUE"",""PULL"",""BADDIE"",""“POINTERS”"",""ARCHERY EQUIPMENT""]"
226,226,"[""BEAD"",""DROP"",""SINK"",""RANGE"",""OLD"",""SPLIT"",""BOOK"",""TUBE""]","[""BIT OF LIQUID"",""DECLINE"",""FOUND IN A KITCHEN"",""COLORS MINUS THEIR FIRST LETTERS"",""M. NIGHT SHYAMALAN MOVIES"",""DEPART QUICKLY"",""SOCIAL MEDIA APP ENDINGS""]"
227,227,"[""AGE"",""ERA"",""ALL"",""LOVE"",""RIGHT"",""YES"",""GENESIS"",""DREAMCAST""]","[""PERIOD"",""DETERGENTS"",""TENNIS SCORING TERMS"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER"",""CLASSIC ROCK BANDS""]"
228,228,"[""DANE"",""WHITE"",""BLUE"",""LOW"",""SHORT"",""SPARE"",""COPY"",""PARROT""]","[""GREAT ___"",""COLORS IN BRAZIL’S FLAG"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING"",""REPLACEMENT"",""SYNONYMS FOR IMITATE""]"
229,229,"[""COSMOPOLITAN"",""HURRICANE"",""NEEDLE"",""RIB"",""KID"",""CUB"",""MALT"",""SHAKE""]","[""COCKTAILS"",""THINGS WITH EYE(S)"",""SYNONYMS FOR BOTHER"",""PLAYFULLY BOTHER"",""BABY ANIMALS"",""COUNTRIES WHEN “A” IS ADDED"",""SODA FOUNTAIN ORDERS""]"
230,230,"[""CUCUMBER"",""CORN"",""BEET"",""CARDINAL"",""SWIFT"",""MARS"",""CRUNCH"",""KANGAROO""]","[""CROPS"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS"",""POP MEGASTARS"",""CHOCOLATE BARS"",""“CAPTAINS”""]"
231,231,"[""MIDNIGHT"",""BABY"",""WAYNE"",""PRINCE"",""KING"",""QUEEN"",""MATE"",""CHUM""]","[""SHADES OF BLUE"",""LIL ___ RAPPERS"",""SUPERHERO LAST NAMES"",""ROYAL TITLES"",""MATTRESS SIZES"",""CHESS TERMS"",""FRIEND""]"
232,232,"[""JAPAN"",""TURKEY"",""PIE"",""CAKE"",""COVER"",""PAGE"",""LEAF"",""BUD""]","[""COUNTRIES WITH RED AND WHITE FLAGS"",""THANKSGIVING FOOD"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK"",""PAPER IN A BOOK"",""FLOWER PARTS""]"
233,233,"[""CLASS"",""FAMILY"",""JELLY"",""SILVER"",""SPARROW"",""MA"",""OK"",""W""]","[""TAXONOMY RANKS"",""ROYAL ___"",""___ FISH THAT AREN’T FISH"",""FICTIONAL PIRATES"",""JACKS"",""STATE ABBREVIATIONS"",""MAGAZINES""]"
234,234,"[""BIND"",""SPOT"",""REX"",""STORM"",""FLASH"",""SECOND"",""MOLE"",""PLANT""]","[""STICKY SITUATION"",""CLASSIC DOG NAMES"",""T-___"",""SUPERHEROES"",""BLINK OF AN EYE"",""UNITS OF MEASURE"",""ONE INVOLVED IN ESPIONAGE""]"
235,235,"[""HOUNDSTOOTH"",""STRIPES"",""DAY"",""ERA"",""ALL"",""LOVE"",""RIGHT"",""YES""]","[""PATTERNS"",""BAND NAMES MINUS COLORS"",""PERIOD"",""DETERGENTS"",""TENNIS SCORING TERMS"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER""]"
236,236,"[""AMATEUR"",""HAPPY"",""BASHFUL"",""QUEEN"",""KING"",""PRINCE"",""WAYNE"",""BABY""]","[""___ HOUR"",""SEVEN DWARFS"",""FEATURED IN “SNOW WHITE”"",""MATTRESS SIZES"",""ROYAL TITLES"",""SUPERHERO LAST NAMES"",""LIL ___ RAPPERS""]"
237,237,"[""ARROW"",""DOG"",""JERK"",""WRENCH"",""KNIFE"",""POT"",""CROCK"",""BUNK""]","[""“POINTERS”"",""BADDIE"",""PULL"",""WEAPONS IN THE GAME CLUE"",""JACK ___"",""COOKWEAR"",""NONSENSE""]"
238,238,"[""FRIDAY"",""SUNDAY"",""EGG"",""ROSE"",""HEART"",""KIDNEY"",""LIMA"",""POLISH""]","[""DAYS OF THE WEEK"",""EASTER ___"",""ONE IN A DOZEN"",""SEEN ON VALENTINE’S DAY"",""ORGANS"",""BEANS"",""WORDS WITH TWO PRONUNCIATIONS""]"
239,239,"[""MASS"",""SEA"",""ARE"",""YOU"",""US"",""OK"",""LA"",""DO""]","[""LARGE AMOUNT"",""LETTER HOMOPHONES"",""WORDS ABBREVIATED WITH LETTERS"",""PRONOUNS"",""MAGAZINES"",""STATE ABBREVIATIONS""]"
240,240,"[""CREST"",""PEAK"",""TOP"",""COVER"",""PAGE"",""LEAF"",""BUD"",""MATE""]","[""HIGHEST POINT"",""APEX"",""COVERINGS"",""PARTS OF A BOOK"",""PAPER IN A BOOK"",""FLOWER PARTS"",""FRIEND""]"
241,241,"[""DUTCH"",""DATE"",""LEMON"",""DUD"",""BORE"",""SNOOZE"",""HOT"",""HIP""]","[""DOUBLE ___"",""FRUIT"",""FAILURE"",""PARTY POOPER"",""SOMETHING TIRESOME"",""___ BUTTON"",""FASHIONABLE""]"
242,242,"[""BUSHEL"",""PECK"",""X"",""TICK"",""SPIDER"",""SUPER"",""AWFUL"",""REAL""]","[""IMPERIAL UNITS"",""KISS"",""SELECT, AS A BOX ON A FORM"",""ARACHNIDS"",""___ MAN SUPERHEROES"",""EXTREMELY"",""ADJECTIVE INTENSIFIERS""]"
243,243,"[""DINKY"",""MINUTE"",""WEE"",""WHY"",""SEA"",""WONDER"",""FRY"",""WING""]","[""WEE"",""TINY"",""W + VOWEL SOUND"",""LETTER HOMOPHONES"",""MEMBERS OF A SEPTET"",""SMALL ___"",""APPETIZER UNIT""]"
244,244,"[""EXPOSE"",""ROSE"",""EGG"",""ISLAND"",""BAR"",""BELL"",""GHOST"",""SPIRIT""]","[""WORDS PRONOUNCED DIFFERENTLY WITH ACCENT MARKS"",""ONE IN A DOZEN"",""EASTER ___"",""LAND SURROUNDED BY WATER"",""SLOT MACHINE SYMBOLS"",""___ PEPPER"",""APPARITIONS""]"
245,245,"[""KOALA"",""KANGAROO"",""CRUNCH"",""MARS"",""SMART"",""HUNT"",""STALK"",""BUD""]","[""MARSUPIALS"",""“CAPTAINS”"",""CHOCOLATE BARS"",""TV SHOW TITLE SURNAMES"",""FICTIONAL SPIES"",""PURSUE"",""FLOWER PARTS""]"
246,246,"[""DANCE"",""ROOT"",""TRUNK"",""BEAK"",""WING"",""FRY"",""WONDER"",""SEA""]","[""SQUARE ___"",""TREE FEATURES"",""ANIMAL NOSES"",""BIRD FEATURES"",""APPETIZER UNIT"",""SMALL ___"",""MEMBERS OF A SEPTET""]"
247,247,"[""IRIS"",""CONE"",""PYRAMID"",""WHEEL"",""HANDLEBAR"",""HORSESHOE"",""MOON"",""PLANET""]","[""PARTS OF THE EYE"",""3-D SHAPES"",""CLASSIC GAME SHOWS, FAMILIARLY"",""BIKE PARTS"",""MUSTACHES"",""LUCKY CHARMS MARSHMALLOWS"",""CELESTIAL OBJECTS""]"
248,248,"[""FOLIO"",""PAGE"",""COVER"",""LID"",""CUP"",""QUART"",""NICK"",""DING""]","[""PAPER IN A BOOK"",""PARTS OF A BOOK"",""COVERINGS"",""COFFEE COUNTER ITEMS"",""UNITS OF VOLUME"",""STARTS OF U.S. COINS"",""MAR""]"
249,249,"[""CLEAVER"",""BUNKER"",""GREEN"",""SCARLET"",""LOVE"",""RIGHT"",""YES"",""GENESIS""]","[""SITCOM FAMILIES"",""GOLF COURSE PARTS"",""CLUE CHARACTERS"",""___ LETTER"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER"",""CLASSIC ROCK BANDS""]"
250,250,"[""ANKLE"",""KNEE"",""HIP"",""IN"",""BOOK"",""SPLIT"",""GLASS"",""PAPER""]","[""LEG PARTS"",""JOINTS"",""FASHIONABLE"",""SOCIAL MEDIA APP ENDINGS"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES""]"
251,251,"[""BALL"",""BONE"",""STORM"",""FLASH"",""SECOND"",""MOLE"",""AGENT"",""SANTA""]","[""THINGS A DOG CAN FETCH"",""T-___"",""SUPERHEROES"",""BLINK OF AN EYE"",""UNITS OF MEASURE"",""ONE INVOLVED IN ESPIONAGE"",""SECRET ___""]"
252,252,"[""KANGAROO"",""CRUNCH"",""MARS"",""SMART"",""HUNT"",""STALK"",""BUD"",""MATE""]","[""“CAPTAINS”"",""CHOCOLATE BARS"",""TV SHOW TITLE SURNAMES"",""FICTIONAL SPIES"",""PURSUE"",""FLOWER PARTS"",""FRIEND""]"
253,253,"[""BASH"",""PARTY"",""CLUB"",""SUB"",""HERO"",""GREAT"",""GIANT"",""WOLF""]","[""SOCIAL GATHERING"",""ORGANIZATION"",""SANDWICHES"",""LONG SANDWICHES"",""ALL-TIMER"",""ENORMOUS"",""FAIRY TALE FIGURES""]"
254,254,"[""BANNER"",""PRINCE"",""KING"",""QUEEN"",""MATE"",""CHUM"",""FLY"",""GNAT""]","[""SUPERHERO LAST NAMES"",""ROYAL TITLES"",""MATTRESS SIZES"",""CHESS TERMS"",""FRIEND"",""FISHING TERMS"",""WINGED INSECTS""]"
255,255,"[""COIL"",""SPIRAL"",""SHELL"",""DOWN"",""LOW"",""SHORT"",""SPARE"",""COPY""]","[""WRAP AROUND IN A CIRCLE"",""PASTA SHAPES"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING"",""REPLACEMENT""]"
256,256,"[""SIN"",""SEA"",""ARE"",""YOU"",""US"",""OK"",""LA"",""DO""]","[""MEMBERS OF A SEPTET"",""LETTER HOMOPHONES"",""WORDS ABBREVIATED WITH LETTERS"",""PRONOUNS"",""MAGAZINES"",""STATE ABBREVIATIONS""]"
257,257,"[""LIFE"",""DUST"",""VACUUM"",""STRAW"",""LID"",""COVER"",""PAGE"",""LEAF""]","[""___ JACKET"",""CLEANING VERBS"",""THINGS THAT SUCK"",""COFFEE COUNTER ITEMS"",""COVERINGS"",""PARTS OF A BOOK"",""PAPER IN A BOOK""]"
258,258,"[""CARP"",""CATFISH"",""STATE"",""STEAM"",""SPIRIT"",""GHOST"",""DESERT"",""FOREST""]","[""FISH THAT ARE VERBS"",""MTV SHOWS"",""HEAD OF ___"",""ENERGY"",""APPARITIONS"",""RUDELY BREAK OFF CONTACT"",""BIOMES""]"
259,259,"[""FOCUS"",""RING"",""SAW"",""GEAR"",""HANDLEBAR"",""HORSESHOE"",""MOON"",""PLANET""]","[""CELL PHONE MODES"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS"",""MUSTACHES"",""LUCKY CHARMS MARSHMALLOWS"",""CELESTIAL OBJECTS""]"
260,260,"[""FAVA"",""KIDNEY"",""HEART"",""ROSE"",""EGG"",""ISLAND"",""BAR"",""BELL""]","[""BEANS"",""ORGANS"",""SEEN ON VALENTINE’S DAY"",""ONE IN A DOZEN"",""EASTER ___"",""LAND SURROUNDED BY WATER"",""SLOT MACHINE SYMBOLS""]"
261,261,"[""DASH"",""TANK"",""TEE"",""PEN"",""QUART"",""CUP"",""LID"",""COVER""]","[""PARTS OF A CAR, INFORMALLY"",""TOPS"",""COMMON SWAG ITEMS"",""STARTS OF U.S. COINS"",""UNITS OF VOLUME"",""COFFEE COUNTER ITEMS"",""COVERINGS""]"
262,262,"[""CRAY"",""SILVER"",""SPARROW"",""MA"",""OK"",""US"",""THEM"",""AIRPLANE""]","[""___ FISH THAT AREN’T FISH"",""FICTIONAL PIRATES"",""JACKS"",""STATE ABBREVIATIONS"",""MAGAZINES"",""PRONOUNS"",""MOVIES WITH “!”""]"
263,263,"[""COMIC"",""ROCK"",""PAPER"",""DOUGH"",""COUGH"",""CORN"",""BEET"",""CARDINAL""]","[""___ OPERA"",""ROCK PAPER SCISSORS"",""SLANG FOR MONEY"",""”-OUGH” WORDS THAT DON’T RHYME"",""___ SYRUP"",""VEGETABLES"",""THINGS THAT ARE RED""]"
264,264,"[""BRIDGE"",""SPIT"",""PIN"",""BALL"",""OUT"",""COPY"",""PARROT"",""MIRROR""]","[""CARD GAMES"",""LONG, SHARP OBJECTS"",""BOWLING"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE""]"
265,265,"[""COUGH"",""CORN"",""BEET"",""CARDINAL"",""SWIFT"",""MARS"",""CRUNCH"",""KANGAROO""]","[""___ SYRUP"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS"",""POP MEGASTARS"",""CHOCOLATE BARS"",""“CAPTAINS”""]"
266,266,"[""COUNTER"",""SINK"",""DROP"",""DASH"",""BOLT"",""ZIP"",""TIFF"",""ROW""]","[""FOUND IN A KITCHEN"",""DECLINE"",""LITTLE BIT, IN A RECIPE"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT""]"
267,267,"[""COLON"",""PERIOD"",""SPELL"",""CHARM"",""PULL"",""SWAY"",""WAVE"",""BITE""]","[""PUNCTUATION MARKS"",""INTERVAL OF TIME"",""BIT OF MAGIC"",""ATTRACTION"",""INFLUENCE"",""MOVE BACK AND FORTH"",""SOUND ___""]"
268,268,"[""DADDY"",""HOWL"",""BARK"",""TRUNK"",""BEAK"",""WING"",""FRY"",""WONDER""]","[""FAMOUS POEMS"",""DOG SOUNDS"",""TREE FEATURES"",""ANIMAL NOSES"",""BIRD FEATURES"",""APPETIZER UNIT"",""SMALL ___""]"
269,269,"[""CRUNK"",""BOUNCE"",""SPLIT"",""GLASS"",""PAPER"",""ROCK"",""MET"",""HARRY""]","[""RAP SUBGENRES"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES"",""ROCK PAPER SCISSORS"",""___ OPERA"",""WHEN HARRY MET SALLY""]"
270,270,"[""ROCK"",""PAPER"",""DOUGH"",""COUGH"",""CORN"",""BEET"",""CARDINAL"",""SWIFT""]","[""ROCK PAPER SCISSORS"",""SLANG FOR MONEY"",""”-OUGH” WORDS THAT DON’T RHYME"",""___ SYRUP"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS""]"
271,271,"[""CHEAT"",""SHARK"",""PERCH"",""LAND"",""SECURE"",""LOCK"",""BONE"",""STORM""]","[""SWINDLER"",""FISH"",""COME DOWN TO REST"",""OBTAIN"",""ASSURE, AS A WIN"",""THINGS TO PICK"",""T-___""]"
272,272,"[""CRAM"",""JAM"",""CLOG"",""PUMP"",""BOOT"",""IRON"",""SPIDER"",""TICK""]","[""FILL TO EXCESS"",""OBSTRUCT"",""SHOES"",""FOOTWEAR"",""ORIGINAL MONOPOLY TOKENS"",""___ MAN SUPERHEROES"",""ARACHNIDS""]"
273,273,"[""AGENCY"",""COMPANY"",""HAIR"",""STEAM"",""SPIRIT"",""GHOST"",""DESERT"",""FOREST""]","[""COMMERCIAL ORGANIZATION"",""MUSICALS"",""HEAD OF ___"",""ENERGY"",""APPARITIONS"",""RUDELY BREAK OFF CONTACT"",""BIOMES""]"
274,274,"[""HOE"",""SICKLE"",""BANANA"",""MANGO"",""MINT"",""FOREST"",""DESERT"",""GHOST""]","[""FARM TOOLS"",""CRESCENT-SHAPED THINGS"",""TROPICAL FRUITS"",""CHUTNEY VARIETIES"",""SHADES OF GREEN"",""BIOMES"",""RUDELY BREAK OFF CONTACT""]"
275,275,"[""CALF"",""CUB"",""MALT"",""SHAKE"",""WAVE"",""BITE"",""ZIP"",""TIFF""]","[""BABY ANIMALS"",""COUNTRIES WHEN “A” IS ADDED"",""SODA FOUNTAIN ORDERS"",""GREETING GESTURES"",""SOUND ___"",""PIQUANCY"",""FILE EXTENSIONS""]"
276,276,"[""ACOUSTIC"",""SONIC"",""LINK"",""TIE"",""SCARF"",""WOLF"",""PRINCESS"",""MUSHROOM""]","[""RELATED TO SOUND/HEARING"",""VIDEO GAME CHARACTERS"",""CONNECTION"",""NECKWEAR"",""SYNONYMS FOR EAT"",""FAIRY TALE FIGURES"",""SUPER MARIO-RELATED""]"
277,277,"[""HEIGHT"",""TOP"",""COVER"",""PAGE"",""LEAF"",""BUD"",""CHUM"",""FLY""]","[""APEX"",""COVERINGS"",""PARTS OF A BOOK"",""PAPER IN A BOOK"",""FLOWER PARTS"",""FRIEND"",""FISHING TERMS""]"
278,278,"[""CRACKER"",""APPLE"",""PLANET"",""MOON"",""HORSESHOE"",""HANDLEBAR"",""GEAR"",""SAW""]","[""___JACK"",""THINGS WITH CORES"",""CELESTIAL OBJECTS"",""LUCKY CHARMS MARSHMALLOWS"",""MUSTACHES"",""BIKE PARTS"",""THINGS WITH TEETH""]"
279,279,"[""CHECK"",""TICK"",""SPIDER"",""SUPER"",""AWFUL"",""REAL"",""WON"",""ATE""]","[""SELECT, AS A BOX ON A FORM"",""ARACHNIDS"",""___ MAN SUPERHEROES"",""EXTREMELY"",""ADJECTIVE INTENSIFIERS"",""WORLD CURRENCIES""]"
280,280,"[""BORING"",""VANILLA"",""CREAM"",""STRING"",""TRAIN"",""BOAT"",""CAR"",""BUS""]","[""UNEXCITING"",""OFF-WHITE SHADES"",""___ CHEESE"",""SEQUENCE"",""MODES OF TRANSPORTATION"",""MEANS OF TRANSPORTATION""]"
281,281,"[""OUTSIDE"",""SMALL"",""WEE"",""WHY"",""SEA"",""WONDER"",""FRY"",""WING""]","[""UNLIKELY, AS CHANCES"",""TINY"",""W + VOWEL SOUND"",""LETTER HOMOPHONES"",""MEMBERS OF A SEPTET"",""SMALL ___"",""APPETIZER UNIT""]"
282,282,"[""OLIVE"",""FOREST"",""DESERT"",""GHOST"",""SPIRIT"",""STEAM"",""STATE"",""CATFISH""]","[""SHADES OF GREEN"",""BIOMES"",""RUDELY BREAK OFF CONTACT"",""APPARITIONS"",""ENERGY"",""HEAD OF ___"",""MTV SHOWS""]"
283,283,"[""GRANDSTAND"",""PEACOCK"",""PRIME"",""MAIN"",""FIRST"",""HIGH"",""LIT"",""FIRE""]","[""SHOW OFF"",""STREAMING SERVICES"",""FOREMOST"",""PRIMARY"",""___ CHAIR"",""STONED"",""COOL, IN SLANG""]"
284,284,"[""BALLOON"",""COFFEE"",""CARROT"",""BEET"",""CARDINAL"",""SWIFT"",""MARS"",""CRUNCH""]","[""CONSECUTIVE DOUBLE LETTERS"",""___ CAKE"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS"",""POP MEGASTARS"",""CHOCOLATE BARS""]"
285,285,"[""DIGIT"",""DOG"",""ARROW"",""BOW"",""STERN"",""KING"",""QUEEN"",""MATE""]","[""HAND- AND FOOT-RELATED SLANG"",""“POINTERS”"",""ARCHERY EQUIPMENT"",""SHIP DIRECTIONS"",""RADIO HALL OF FAME MEMBERS"",""MATTRESS SIZES"",""CHESS TERMS""]"
286,286,"[""EVERYTHING"",""POPPY"",""BEET"",""CARROT"",""POUND"",""BISHOP"",""QUEEN"",""KING""]","[""BAGEL FLAVORS"",""THINGS THAT ARE RED"",""VEGETABLES"",""___ CAKE"",""AMERICAN POETS"",""CHESS TERMS"",""MATTRESS SIZES""]"
287,287,"[""DOWN"",""SCARF"",""WOLF"",""PRINCESS"",""MUSHROOM"",""STAR"",""SILVER"",""SPARROW""]","[""EAT VORACIOUSLY"",""SYNONYMS FOR EAT"",""FAIRY TALE FIGURES"",""SUPER MARIO-RELATED"",""POWER-UPS IN SUPER MARIO WORLD"",""___ FISH THAT AREN’T FISH"",""FICTIONAL PIRATES""]"
288,288,"[""DRAFT"",""BREEZE"",""SNAP"",""ZIP"",""TIFF"",""ROW"",""PIE"",""CAKE""]","[""BIT OF WIND"",""SOMETHING EASY TO DO"",""FASTENING VERBS"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS"",""DESSERTS""]"
289,289,"[""CANARY"",""BANANA"",""MANGO"",""MINT"",""FOREST"",""DESERT"",""GHOST"",""SPIRIT""]","[""THINGS THAT ARE YELLOW"",""TROPICAL FRUITS"",""CHUTNEY VARIETIES"",""SHADES OF GREEN"",""BIOMES"",""RUDELY BREAK OFF CONTACT"",""APPARITIONS""]"
290,290,"[""COURIER"",""TIMES"",""KISS"",""BALL"",""OUT"",""COPY"",""PARROT"",""MIRROR""]","[""FONTS"",""WHAT “X” MIGHT MEAN"",""HAPPY NEW YEAR!"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE""]"
291,291,"[""BREEZE"",""SNAP"",""ZIP"",""TIFF"",""ROW"",""PIE"",""CAKE"",""COVER""]","[""SOMETHING EASY TO DO"",""FASTENING VERBS"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”""]"
292,292,"[""GRIPE"",""CARP"",""CATFISH"",""STATE"",""STEAM"",""SPIRIT"",""FRONTIER"",""ADVENTURE""]","[""SYNONYMS FOR COMPLAIN"",""FISH THAT ARE VERBS"",""MTV SHOWS"",""HEAD OF ___"",""ENERGY"",""AIRLINES""]"
293,293,"[""CAW"",""CLUCK"",""BUZZ"",""RING"",""SAW"",""GEAR"",""HANDLEBAR"",""HORSESHOE""]","[""BIRD SOUNDS"",""ANIMAL SOUNDS"",""CONTACT VIA PHONE"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS"",""MUSTACHES""]"
294,294,"[""DRESS"",""STYLE"",""BUSINESS"",""BONE"",""STORM"",""FLASH"",""SECOND"",""MOLE""]","[""APPEARANCE"",""NEWSPAPER SECTIONS"",""FUNNY ___"",""T-___"",""SUPERHEROES"",""BLINK OF AN EYE"",""UNITS OF MEASURE""]"
295,295,"[""BELLY"",""SHOULDER"",""HIP"",""IN"",""BOOK"",""SPLIT"",""GLASS"",""PAPER""]","[""CUTS OF PORK"",""JOINTS"",""FASHIONABLE"",""SOCIAL MEDIA APP ENDINGS"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES""]"
296,296,"[""HOBBES"",""GOOSE"",""BLUE"",""LOW"",""SHORT"",""SPARE"",""COPY"",""PARROT""]","[""SIDEKICKS"",""___BERRY "",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING"",""REPLACEMENT"",""SYNONYMS FOR IMITATE""]"
297,297,"[""CHUMP"",""MARK"",""JOB"",""POLISH"",""FILE"",""SAW"",""RING"",""BOUQUET""]","[""TARGET OF A SCHEME"",""BIBLE BOOKS"",""WORDS WITH TWO PRONUNCIATIONS"",""MANICURE STEPS"",""TOOLS"",""HORROR FRANCHISES"",""BRIDAL ACCESSORIES""]"
298,298,"[""DISTORT"",""TWIST"",""SPIRAL"",""SHELL"",""DOWN"",""LOW"",""SHORT"",""SPARE""]","[""ALTER DECEPTIVELY"",""WRAP AROUND IN A CIRCLE"",""PASTA SHAPES"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING""]"
299,299,"[""GREEN"",""BLUE"",""LOW"",""SHORT"",""SPARE"",""COPY"",""PARROT"",""MIRROR""]","[""COLORS IN BRAZIL’S FLAG"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING"",""REPLACEMENT"",""SYNONYMS FOR IMITATE"",""IMITATE""]"
300,300,"[""HEAD"",""CAN"",""GO"",""CHANCE"",""CAT"",""MOUNTAIN"",""VALLEY"",""DELL""]","[""SLANG FOR TOILET"",""DANCES WHEN DOUBLED"",""MONOPOLY SQUARES"",""FAT ___"",""YOGA POSES"",""LAND FORMATIONS""]"
301,301,"[""CANDY CANE"",""TIGER"",""RABBIT"",""KNIFE"",""WRENCH"",""JERK"",""DOG"",""ARROW""]","[""THINGS WITH STRIPES"",""CHINESE ZODIAC ANIMALS"",""JACK ___"",""WEAPONS IN THE GAME CLUE"",""PULL"",""BADDIE"",""“POINTERS”""]"
302,302,"[""CEREAL"",""WAFFLE"",""WEDGE"",""PUMP"",""BOOT"",""IRON"",""SPIDER"",""TICK""]","[""BREAKFAST FOODS"",""TYPES OF FRENCH FRIES"",""SHOES"",""FOOTWEAR"",""ORIGINAL MONOPOLY TOKENS"",""___ MAN SUPERHEROES"",""ARACHNIDS""]"
303,303,"[""KEYS"",""SWIFT"",""CARDINAL"",""BEET"",""ONION"",""POPPY"",""DADA"",""POP""]","[""WOMEN SINGERS"",""BIRDS"",""THINGS THAT ARE RED"",""VEGETABLES"",""BAGEL FLAVORS"",""FAMILIAL NICKNAMES"",""ART MOVEMENTS""]"
304,304,"[""BALLOT"",""TICKET"",""SPORTS"",""DUST"",""VACUUM"",""STRAW"",""LID"",""COVER""]","[""LIST OF CANDIDATES"",""“E-” THINGS"",""___ JACKET"",""CLEANING VERBS"",""THINGS THAT SUCK"",""COFFEE COUNTER ITEMS"",""COVERINGS""]"
305,305,"[""FACTORY"",""PLANT"",""MOLE"",""SECOND"",""FLASH"",""STORM"",""REX"",""SPOT""]","[""MANUFACTURING LOCATIONS"",""ONE INVOLVED IN ESPIONAGE"",""UNITS OF MEASURE"",""BLINK OF AN EYE"",""SUPERHEROES"",""T-___"",""CLASSIC DOG NAMES""]"
306,306,"[""CRYPTOGRAPHY"",""PIANO"",""SUPER"",""SPIDER"",""TICK"",""X"",""PECK"",""STONE""]","[""THINGS WITH KEYS"",""THEY HAVE KEYS"",""___ MAN SUPERHEROES"",""ARACHNIDS"",""SELECT, AS A BOX ON A FORM"",""KISS"",""IMPERIAL UNITS""]"
307,307,"[""LANCE"",""PIN"",""BALL"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC""]","[""LONG, SHARP OBJECTS"",""BOWLING"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE""]"
